contact,name,category,township,street,state
 095082716,Lucky 9,Threads,Mingalar Taung Nyunt,"Rm 205,1st Flr,Mingalar Market",Yangon Region
" 095516777, 095005431, 01370622 Ext.178",Kyi Maung [U],Threads,Pabedan,"138, Rm 1/A, 25th St., Upper Middle Block,",Yangon Region
" 01240600 Ext.4849, 01370622 Ext.178, 01371822 Ext.178, 095005431, 095156267",Kyi Maung [U],Threads,Pabedan,"B Shed, Rm 353, Thein Gyi Market,",Yangon Region
" 01254084, 095147040, 095505078",Maung Tun [Ko],Threads,Pabedan,"B Shed, Rm 349, Thein Gyi Market,",Yangon Region
" 01242775 Ext.2147, 09450005529, 095175649, 0973121615",Hla Moe,Threads,Pabedan,"Bldg 4, C Shed, Rm 41, G Flr, Thein Gyi Market,",Yangon Region
" 095123972, 095103662, 095034024","Myanmar Textile Alliance Co., Ltd.",Threads,Thingangyun,"1, 1st Flr, Mingalar Yeik Thar St.,",Yangon Region
" 09788600738, 09253099603",Mr. Richard,,,"552, 83 St., Between 34 St. and 35 St.,",Chan Aye Thar Zan
" 0973211678, 09793269678",Hla Moe,Threads,Thaketa,"Yan Pyay St., Corner of Yan Pyay 17th St.,Yan Pyae Ward (3),",Yangon Region
" 095131306, 09795957294",Nan Phan,Tiles [Wall/Floor],Insein,"101 Shed, Rm 4, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 095092232, 095125002, 0973028252",Aung Kyaw Thu,Timber Merchants,South Dagon,"899, Pearl Yadanar St., Ward (18),",Yangon Region
" 01577928, 0973151775, 018550394",Aung Kyaw Thein [2],Timber Merchants,South Okkalapa ,"15/A,Set Hmu 6th St.,Industrial Zone",Yangon Region
 095135610,Madi Hline,Threads,South Dagon,"Wet Ma Soot Wun Htauk St., East Dagon Industrial Zone (2),",Yangon Region
 09253625743,Aung Kyaw Oo [U],Timber Merchants,Hlaing Thar Yar,"648, Bo Aung Kyaw St., Ward (14),",Yangon Region
" 0973073009, 0973091060, 01638044, 0973252722",Aung Lan,Timber Merchants,Mingalardon,"214, No.(3) Main Rd., Pearl Myoe Thit, Pearl Myoe Thit Ward (2),",Yangon Region
" 0943151384, 09450021403",Aung Kyin,Timber Merchants,Hlaing Thar Yar,"5/A,Anawrahta Rd.,Ward (11)",Yangon Region
" 01252126, 095131306",Nan Fang,Tiles [Wall/Floor],Pabedan,"49, Kon Zay Dan St., Lower Middle Block,",Yangon Region
" 09261734589, 0973032650",Nadi Family,Tiles [Wall/Floor],Hlaing Thar Yar,"152/A, Bo Aung Kyaw St., Ward (14),",Yangon Region
" 095119728, 09971825445, 01240600 Ext.4528, 01370622 Ext.528",Hla Thein [U],Threads,Pabedan,"B Shed, Rm 328, Thein Gyi Market,",Yangon Region
" 095115763, 01665583, 01665671","Myanmar Kyauk Seinn Minn Han Co.,Ltd.",Tiles [Wall/Floor],North Okkalapa ,"1036, Thudhamar Rd., Nga Ward,",Yangon Region
" 01254762, 01370622 Ext.548",Soe Oo [U],Threads,Pabedan,"A Shed, Rm 63, Thein Gyi Market,",Yangon Region
" 095009826, 095153314, 01579343, 018550393, 095003627",Aung Kyaw Thein,Timber Merchants,South Okkalapa ,"57/A, Set Hmu 4th St., Industrial Zone,",Yangon Region
" 01560796, 0973119710",Aung Kyaw,Timber Merchants,South Okkalapa ,"996,Myittar Rd.,Ward (9)",Yangon Region
" 01370622 Ext.405, 095039384, 01377591 [Res]",Soe Myint [U] & Sons,Threads,Pabedan,"B Shed, Rm 166, Thein Gyi Market,",Yangon Region
 09778283893,"Myanmar Forlong Co.,Ltd.",Threads,Hlaing Thar Yar,"47, Twin Thin Tike Wun U Tun Nyo St., Shwe Linban Industrial Zone,",Yangon Region
" 01240600 Ext.4274, 09250171721, 098626406",MS,Threads,Latha,"D Shed, Rm F/535, Underground, Thein Gyi Market,",Yangon Region
" 01240940, 01372537",Pauk Sa [U] & Sons,Threads,Pabedan,"C Shed, Thein Gyi Market,",Yangon Region
 019190378,Kyi Kyi Win [Daw],Threads,Thaketa,"798, Man Pyay 2nd St., Corner of Man Pyay St.,Ward (2-South),",Yangon Region
" 095175649, 0973121615",Hla Moe [Ko],Threads,Mingalar Taung Nyunt,"30, 87th St., Kan Daw Kalay (West) Ward,",Yangon Region
" 01370622 Ext.578, 095192128",Myat Htut [U],Threads,Pabedan,"A Shed, Rm 132, Thein Gyi Market,",Yangon Region
" 09250026944, 095172655, 09254203404, 09375717, 01240600 Ext.4526",Moe Thein [U],Threads,Pabedan,"B Shed, Rm 332, Thein Gyi Market,",Yangon Region
" 09420745768, 09790986642",Mya Yadanar Aung,Tiles [Wall/Floor],Insein,"101 Shed, Rm 5, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 09420328428, 09790986642, 09787992908, 09420745768",Mya Yadanar Aung,Tiles [Wall/Floor],Insein,"101 Shed, Rm 5, Shwe Wah St., Saw Bwar Gyi Gone Warehouses,",Yangon Region
" 09421047134, 09263211096",Ni Ni,Threads,Pabedan,"3 Shed, Rm 212, New Bogyoke Aung San Market,",Yangon Region
