name,street,contact,state,township,Category
"Wa Minn Co.,Ltd.","116, Thamaing Butar Yon Rd., No (1) Ceramic Wares Factory, Ward (2),"," 019660772, 019661317, 019660412, 019661139, 09252347774",Yangon Region,Mayangone,Service
"SDB General Trading Co.,Ltd.","Rm 8, Anawrahta Rd., Anawrahta Housing,"," 01295648, 095005271, 09965005271",Yangon Region,Pazundaung,Service
"Sm Engineering Co.,Ltd.","Bldg SH/B/1, Rm 7, Yadanar Rd., Malikha Garden Housing,"," 01566515, 01566534",Yangon Region,Thingangyun,Service
"Tiger Hose Trading Co.,Ltd.","214/216, Rm 5/B, 4th Flr, Bo Myat Tun St., Middle Block,"," 01398856, 01398857",Yangon Region,Pazundaung,Service
"Tong Tah Co.,Ltd.","242, Bogyoke Aung San Rd.,"," 01392699, 095002454, 0973058197",Yangon Region,Mingalar Taung Nyunt,Service
"Valtec Co.,Ltd.","78, 4th Flr, Anawrahta Rd.,"," 095174502, 09259255879, 09971292890",Yangon Region,Kyauktada,Service
"Kyaw Kyaw Htun Co.,Ltd.","116/118/A, 4th Flr, Bogalay Zay St., Lower Middle Block,"," 01398149, 01398150, 01398332, 01595340, 095002887, 098502887",Yangon Region,Botahtaung,Service
"Aspen International Co.,Ltd.","42/148/B, Mahaw Gani St., Industrial Zone (1),"," 0973048747, 0931349348",Yangon Region,Shwe Pyi Thar,Service
"Yadanar Tun [Thiri Yadanar Tun Trading Co.,Ltd.]","1200/A, Rm D/1, Min Nandar Rd., Beside Orange Supermarket, Ward (2-North),"," 095078699, 095178677",Yangon Region,Thaketa,Service
Ayeyar Phoenix,"159/D, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,"," 01385396, 0943334445, 095554447",Yangon Region,Dagon Seikkan,Service
"CO2 Solutions Co.,Ltd. [Saw Mill]","198/12, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,"," 095024808, 09793420819",Yangon Region,Dagon Seikkan,Service
"Great Apex Int'l Co.,Ltd.","71~73, Malikha St., Industrial Zone (5),"," 095055532, 01688044, 01688186, 01688280",Yangon Region,Hlaing Thar Yar,Service
"Great Golden Empire Co.,Ltd.","85/B, Thura Thati St., Ward (8),"," 01662960, 01667883, 095002612, 09253083520 [Hot Line]",Yangon Region,Mayangone,Service
G.P.E Ltd.,"110/B, 1st Flr, Shwe Taung Dan St., Middle Block,"," 01227064, 01228261",Yangon Region,Lanmadaw,Service
"Joint Venture Corporation's Co.,Ltd.","148, Pyi Htaung Su Rd., Myanma Timber Enterprise Compound, Ward (64),", 095046209,Yangon Region,South Dagon,Service
Htay Family Group of Companies,"Oak Pon Seik St., Nawaday Sports Ground, Ward (5),", 0973016654,Yangon Region,Mayangone,Service
"Heiwa Plastic Co.,Ltd.","195, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,"," 09250016268, 09263731044, 09971397190",Yangon Region,Dagon Seikkan,Service
