contact,name,township,street,state,Category
" 09783547402, 09791633327","Han Myanmar Construction Co.,Ltd.",Shwe Pyi Thar,"19/20, Myawaddy Min Gyi St., Industrial Zone (4),",Yangon Region,Construction
" 012336387, 098630452","High Aims [Asia] Co.,Ltd.",Yankin,"192/A, Thitsar Rd., Near Than Lan Bus Stop, Ward (12),",Yangon Region,Construction
" 01538518, 095006637","Geo Palace Engineering Co.,Ltd.",Sanchaung,"8, Rm 606, 6th Flr, Bargayar Rd., Pan Chan Tower, Myae Ni Gone (South) Ward,",Yangon Region,Construction
" 01549963, 0973050425, 01430887","K & K Mahar Construction Co.,Ltd.",Tarmwe,"Nilar St., Myanma Gonyaung Housing,",Yangon Region,Construction
" 098614461, 0943137188, 09971736812, 09254488825","T & Z Group Co.,Ltd.",Botahtaung,"150, Rm 501, 6th Flr, 48th St., Upper Block,",Yangon Region,Construction
" 01381964, 0973131288, 0973150482, 09250288811, 09250499988","Winner Super Diamond Pile Co.,Ltd.",Botahtaung,"56/58, 44th St., Lower Block,",Yangon Region,Construction
" 01664880, 09250155102","Seafco [Myanmar] Co.,Ltd.",Yankin,"60/B/C, Myintzu 2nd St., Ward (8),",Yangon Region,Construction
" 01577175, 018550924, 095067934, 09450042846, 095014292, 09250115002, 09421152254","SKK Family Construction Co.,Ltd.",Thingangyun,"184, Kyun Shwe Myaing St., Thuwana/23 (Su Paung) Ward,",Yangon Region,Construction
" 0943183920, 09796165841, 0933083574, 09250539862, 09258634821","Wai Phyo Dana Co.,Ltd. [WPD]",Thingangyun,"Bldg 1, Rm 103, 1st Flr, Eiksarthara St., Thu Mingalar Housing,",Yangon Region,Construction
" 018600111, 018600038","Taw Win Family Co.,Ltd.",Dagon,"Rm 4001, 3rd Flr, Taw Win Centre,",Yangon Region,Construction
" 01508246, 01508247","ABC Telecom Co.,Ltd.",Kyeemyin Daing,"Rm 1004/1005, 10th Flr, Lower Kyee Myin Daing Rd., Ye Ta Khon Tower,",Yangon Region,Construction
" 09452389356, 09773925512","Mavro & SIM All Services Co.,Ltd.",North Okkalapa ,"Bldg L, Rm 17, Thiri Yadanar Retail/Wholesale Market,",Yangon Region,Construction
" 09450064518, 095139865","Centrepiece Int'l Co.,Ltd.",Latha,"118, 4th Flr, 23rd St., Upper Block,",Yangon Region,Construction
" 01384702, 095123223","Great Wall Pharmaceutical & Construction Group [Great Wall Shwe Myay Co.,Ltd.]",Latha,"97/99, 7th Flr, 22nd St., Upper Block,",Yangon Region,Construction
" 01298277, 09795917528","R.T.S Co.,Ltd.",Botahtaung,"47, 2nd Flr, 52nd St., Lower Block,",Yangon Region,Construction
" 01295875, 095037779","Pretty Peacock Co.,Ltd.",Pazundaung,"128/130, 3rd Flr, Maha Bandoola Rd.,",Yangon Region,Construction
" 09250392226, 09250402224, 09250402226, 09250404030, 01573261","Asia Five Stars Co.,Ltd.",South Okkalapa ,"13,Waiza Yan Tar Rd.,Ward (6)",Yangon Region,Construction
" 01618732, 01618733, 095167658, 01618301, 01618456, 018627638","Myanmar Elephant Steel Industries Co.,Ltd. [MES] [Two Elephants Trading Co.,Ltd.]",Shwe Pyi Thar,"116, Bayint Naung Rd., Industrial Zone (4),",Yangon Region,Construction
" 01559162, 018603822",AIS Advanced Info Communication & Solutions,Bahan,"Rm 004, New University Avenue Rd., Shwe Than Lwin Condo, Saya San Ward,",Yangon Region,Construction
" 01612553, 0973055882, 01614079, 098627885, 09250044977, 098625124, 098627852","4E-Engineering Group Co.,Ltd.",Shwe Pyi Thar,"68/B, Kanaung Min Thar Gyi St., Industrial Zone (1),",Yangon Region,Construction
" 01252695, 01374645, 01372743, 01377673 Ext.212/213/214, 01385136","Great Cairo Construction Co.,Ltd.",Kyauktada,"157/159, 37th St., Upper Middle Block,",Yangon Region,Construction
" 012303099, 011220564, 095114380","Global Summit Trading Co.,Ltd.",Dagon,"330, Rm 516, 5th Flr, Ahlone Rd., Yangon International Hotel, Pyay (East) Ward,",Yangon Region,Construction
" 01655232, 09400300008, 09260414636","Douglas Project Management & Engineering Consultant Co.,Ltd.",Mayangone,"Bldg B/8,Rm 001,G Flr,Min Dhama Rd.,Shwe Kabar Housing",Yangon Region,Construction
 01536180,"ASIG-AETHER Co.,Ltd.",Bahan,"41/18/A, Shwe Taung Gone Yeik Thar St., Shwe Taung Gyar Ward (2),",Yangon Region,Construction
 01559377 Ext.622,"Ayar Zayar Co.,Ltd.",Bahan,"Rm 0224, 2nd Flr, Excel Shopping Mall,",Yangon Region,Construction
 01543700,Leadcom Integrated Solutions Ltd.,Bahan,"New University Avenue Rd., University Avenue Housing,",Yangon Region,Construction
" 01650546, 011223333","King Royal Technologies Co.,Ltd.",Mayangone,"4, G Flr, Min Dhama Rd., Shwe Kabar Housing,",Yangon Region,Construction
" 01508011, 01508012, 01508017","Future Construction Co.,Ltd.",Kyeemyin Daing,"Rm 803/805, 8th Flr, Lower Kyee Myin Daing Rd., Ye Ta Khon Tower,",Yangon Region,Construction
" 01200309, 01200310, 01297380, 01297827","Shwe Than Lwin Construction Co.,Ltd.",Botahtaung,"Bldg 269, Lower Pazundaung Rd., Yarzardiyit Housing,",Yangon Region,Construction
" 01246914, 0931337444, 09250705554","Mega Prime Myanmar Co.,Ltd.",Pabedan,"81,30th St.,Lower Middle Block",Yangon Region,Construction
" 095006367, 098617185","Mahar Ngwe Taung Co.,Ltd.",North Dagon,"977, Bo Cho St., Corner of Bo Cho 1st St.,Ward (45),",Yangon Region,Construction
" 01223622, 09978067899, 0973183856, 0941008026",Myanmar Blue Sky,Lanmadaw,"51/A,4th St.",Yangon Region,Construction
" 01552152, 095157640","Myanmar Ingin Thazin Co.,Ltd.",Tarmwe,"78, 3rd Flr, Aung Mingalar St., Bolein Aung Mingalar Ward,",Yangon Region,Construction
" 01546445, 01546446","Myantelco Solutions Co.,Ltd.",Bahan,"Bldg C, Rm 103, 1st Flr, New University Avenue Rd., University Avenue Housing,",Yangon Region,Construction
" 01225682, 0943105360, 09250500682","Vigorous Engineer Group Co.,Ltd.",Lanmadaw,"80, 1st Flr, 12th St., Middle Block,",Yangon Region,Construction
" 09420007428, 09421021412, 01240600 Ext.4559, 09420007427",B.M.L,Latha,"E Shed, Rm 4, G Flr, Thein Gyi Market,",Yangon Region,Equipment & Supplies
" 01665583, 095115763, 01665158","Myanma Kyauk Seinn Minn Han Co.,Ltd. [Terrazzo]",Mayangone,"81/C, Kaytumadi St., Kyauk Yae Twin, Ward (5),",Yangon Region,Equipment & Supplies
" 0973099552, 095107993, 09254540719, 095008604","Fruitful Co.,Ltd.",Sanchaung,"77/E, Shin Saw Pu Rd., Shin Saw Pu Ward,",Yangon Region,Equipment & Supplies
" 01701934, 01242775 Ext.2400, 09250030700",Heavy Power [Maung Kaung],Latha,"27, Anawrahta Rd.,",Yangon Region,Equipment & Supplies
" 01682066, 0973036174, 095109418, 095157677",Han Asia,Mayangone,"18, Thiri Mon 3rd St., Thiri Mon Plaza,",Yangon Region,Equipment & Supplies
" 09420007428, 09421021412, 01240600 Ext.4559, 09420007427",B.M.L,Latha,"E Shed, Rm 4, G Flr, Thein Gyi Market,",Yangon Region,Equipment & Supplies
" 01680890, 01682485, 01528880","Summit Goal Co.,Ltd.",Mayangone,"Kha/47 Shed, Rm 9/10/11, Bayint Naung Market,",Yangon Region,Equipment & Supplies
 09263340772,Sein [Phyue],Mayangone,"12 Shed, Rm 20, Bayint Naung Market,",Yangon Region,Equipment & Supplies
" 09450010310, 09425295559",Kyaw Hein,Mayangone,"12 Shed, Rm 20, Bayint Naung Market,",Yangon Region,Equipment & Supplies
" 01243902, 0973153353, 095680183",Zwe Myittar,Latha,"66, 23rd St., Lower Block,",Yangon Region,Equipment & Supplies
" 0973225921, 095158517, 01682702",Tun Lin [U],Mayangone,"Ka Gyi/38 Shed, Rm 15, Bayint Naung Market,",Yangon Region,Equipment & Supplies
" 01591116, 01590272, 01590790, 095502223",Zaw Gyi [Ko],South Dagon,"Bldg 1, Rm 3/4/5/6, Pyi Htaung Su Rd., Myoe Oo Yeikmon Housing,",Yangon Region,Equipment & Supplies
" 01681894, 01682877","Jinlong Myanmar Co.,Ltd.",Hlaing Thar Yar,"393, Mya Taung Wun Gyi U Hmo St., Shwe Linban Industrial Zone,",Yangon Region,Equipment & Supplies
" 09425331433, 0973047618, 01682877, 01686787, 01686798, 01686797, 016504658, 092002330, 09425331434","Jinlong Myanmar Machinery Trading Co.,Ltd.",Mayangone,"35/36, Thiri Mon St., Thiri Mon Plaza,",Yangon Region,Equipment & Supplies
" 01538970, 01538972","Integrated Trading Co.,Ltd.",Kamayut,"37, 1st Flr, Hanthawaddy Rd., Ward (5),",Yangon Region,Equipment & Supplies
" 09451002623, 0973184719, 09250358263, 09425304197","Young Sein Co.,Ltd. [Classe]",Mingalardon,"534/B, Anawrahta St., Mya Yadanar Myoe Thit,",Yangon Region,Equipment & Supplies
" 01385238, 01373308, 095123897, 0973042112",Myittar Mon,Pabedan,"96, Shwe Dagon Pagoda Rd., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01298128, 019000922, 019000923, 01295613, 01397388","Tong Tah Co.,Ltd.",Pazundaung,"Bldg 3, Rm 004/005, Botahtaung Pagoda St., Anawrahta Housing,",Yangon Region,Equipment & Supplies
" 01372282, 01372756, 01372282, 095139384, 0973027853, 0933559885","United Forward Co.,Ltd.",Latha,"17/19,Shwe Dagon Pagoda Rd.,Lower Block",Yangon Region,Equipment & Supplies
 09254199722,"AAA Co.,Ltd.",Pabedan,"202,Bo Soon Pat St.,Middle Block",Yangon Region,Equipment & Supplies
" 01293678, 01295513, 095100637","A 1 Machinery Trading Co.,Ltd.",Pazundaung,"Rm 10/11, Anawrahta Rd., Anawrahta Housing,",Yangon Region,Equipment & Supplies
" 01528525, 01528628, 01681124, 01686703, 0973244579","AAA Co.,Ltd.",Mayangone,"30~33, Sabei St., Thiri Mon Plaza,",Yangon Region,Equipment & Supplies
" 01681542, 01683660, 01681561, 01681810, 01681812, 01683573",Mingalar Than Myint Industrial Emporium,Mayangone,"H/1, Bayint Naung Rd., Thiri Mon Plaza,",Yangon Region,Equipment & Supplies
" 09428182485, 098621564, 01528744","Maung Naing [Ko] [Family] [KOL Global Co.,Ltd.]",Mayangone,"21, Thiri Mon 2nd St., Thiri Mon Plaza,",Yangon Region,Equipment & Supplies
" 01538101, 01502168, 01531007","Kaung Thukha Trading Co.,Ltd.",Kamayut,"Bldg F/S/24, Bayint Naung Rd., Shwe Pone Nyet Yeikmon,",Yangon Region,Equipment & Supplies
" 09796930616, 09796930617","Than Ohn [U] & Sons Co.,Ltd. [Showroom]",South Okkalapa ,"202/B, Parami Rd., Ward (5),",Yangon Region,Equipment & Supplies
" 01370117, 01376102, 095180092, 095199102, 09785180092, 0124775 Ext.2363",R.S Zeyar Aung,Pabedan,"56/B, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 09974252312, 0931517697","Classic Alpha Int'l Co.,Ltd.",South Dagon,"90, Nga Wun St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 09422455847, 09420000640, 09799989686","Nay La Trading Co.,Ltd.",North Okkalapa ,"118, Thudhamar Rd., Sa Lone Ward,",Yangon Region,Equipment & Supplies
" 01450990, 095215629, 098627549",International Integrated Group of Companies [IIG],Dagon Seikkan,"47,Yadanar St.,Yadanar Housing",Yangon Region,Equipment & Supplies
" 09420004086, 09260420096, 09250902258","Alstern Technologies [Myanmar] Co.,Ltd.",Thingangyun,"4/F, Bayint Naung Rd., Pin Lon Yeik Mon Housing, Kyee Pwar Yay Ward,",Yangon Region,Equipment & Supplies
" 01643106, 095197457, 095024423, 095161192, 01647851",In Arr Thit,Insein,"93 Shed, Rm 11/12, Pearl St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 01647852, 019640039, 095024423, 095129279",In Arr Thit,Insein,"130/131 Shed, Rm 1, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 01252510, 098617430, 01378829, 01252510, 0973249916","Ywar Taw Int'l Trading Co.,Ltd.",Dagon,"42, 4th Flr, Pan Tra St., Corner of Min Kyaung St.,Pha Yar Gyi Ward,",Yangon Region,Equipment & Supplies
" 01389013, 01241711, 095006197, 095167971","Top Family General Trading Co.,Ltd.",Pabedan,"117, 28th St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01389013, 01241711, 095006197, 095167971","Top Family General Trading Co.,Ltd.",Pabedan,"118, 1st Flr, 28th St., Upper Middle Block,",Yangon Region,Equipment & Supplies
